index,storeName,placeId,address,category,phone,googleUrl,ratingText,latitude,longitude,stars,numberOfReviews
77,Kosaku Coffee Lab,ChIJA02Ag2H71y0Rrz5NaQIXo2s,,Kafe,"",https://www.google.com/maps/place/Kosaku+Coffee+Lab/data=!4m7!3m6!1s0x2dd7fb6183804d03:0x6ba31702694d3eaf!8m2!3d-7.2784189!4d112.7649477!16s%2Fg%2F11jzmp5kdt!19sChIJA02Ag2H71y0Rrz5NaQIXo2s?authuser=0&hl=id&rclk=1,"4,6 bintang 331 Ulasan",-7.2784189,112.7649477,4.6,331
78,Mbahe Cafe,ChIJUX5DLXD51y0RCXTv3woXEk0,Jl. Kalijudan No.177,Kedai Kopi,"",https://www.google.com/maps/place/Mbahe+Cafe/data=!4m7!3m6!1s0x2dd7f9702d437e51:0x4d12170adfef7409!8m2!3d-7.2551518!4d112.7809682!16s%2Fg%2F11qr3v44yx!19sChIJUX5DLXD51y0RCXTv3woXEk0?authuser=0&hl=id&rclk=1,"4,6 bintang 244 Ulasan",-7.2551518,112.7809682,4.6,244
79,Kafe 27 Kenjeran,ChIJkZwxV-z51y0RLCHKb7-eVaU,,Kafe,"",https://www.google.com/maps/place/Kafe+27+Kenjeran/data=!4m7!3m6!1s0x2dd7f9ec57319c91:0xa5559ebf6fca212c!8m2!3d-7.251303!4d112.78893!16s%2Fg%2F11rhq25yjp!19sChIJkZwxV-z51y0RLCHKb7-eVaU?authuser=0&hl=id&rclk=1,"4,6 bintang 700 Ulasan",-7.251303,112.78893,4.6,700
80,Keena,ChIJMeMZSuf71y0RABUcz-eqAeI,Jl. Srikana No.144,Kafe,"",https://www.google.com/maps/place/Keena/data=!4m7!3m6!1s0x2dd7fbe74a19e331:0xe201aae7cf1c1500!8m2!3d-7.2744373!4d112.7592752!16s%2Fg%2F11t5y2kgww!19sChIJMeMZSuf71y0RABUcz-eqAeI?authuser=0&hl=id&rclk=1,"4,9 bintang 103 Ulasan",-7.2744373,112.7592752,4.9,103
81,Kopi Kenangan - Ruko Mulyosari,ChIJP3TF7Rz51y0ReEJrfh-MT84,Jl. Raya Mulyosari No.76G,Kedai Kopi,"",https://www.google.com/maps/place/Kopi+Kenangan+-+Ruko+Mulyosari/data=!4m7!3m6!1s0x2dd7f91cedc5743f:0xce4f8c1f7e6b4278!8m2!3d-7.2617851!4d112.7953006!16s%2Fg%2F11jdth4gcc!19sChIJP3TF7Rz51y0ReEJrfh-MT84?authuser=0&hl=id&rclk=1,"4,6 bintang 432 Ulasan",-7.2617851,112.7953006,4.6,432
82,Demandailing Cafe,ChIJF2rBfhT71y0RZcjbW3Ajc2I,,Kafe,"",https://www.google.com/maps/place/Demandailing+Cafe/data=!4m7!3m6!1s0x2dd7fb147ec16a17:0x627323705bdbc865!8m2!3d-7.3225321!4d112.7423232!16s%2Fg%2F11bt_h9mr_!19sChIJF2rBfhT71y0RZcjbW3Ajc2I?authuser=0&hl=id&rclk=1,"4,5 bintang 4.109 Ulasan",-7.3225321,112.7423232,4.5,4.109
83,Cafe & Studio FotoLavender,ChIJif__v_H51y0RZVSvjOiRBHA,Ruko San Antonio N-60 Pakuwon City,Restoran,"",https://www.google.com/maps/place/Cafe+%26+Studio+FotoLavender/data=!4m7!3m6!1s0x2dd7f9f1bfffff89:0x700491e88caf5465!8m2!3d-7.2656797!4d112.8051813!16s%2Fg%2F11cllg9lx8!19sChIJif__v_H51y0RZVSvjOiRBHA?authuser=0&hl=id&rclk=1,"4,3 bintang 3 Ulasan",-7.2656797,112.8051813,4.3,3
84,Ali Muchson Cafe,ChIJjQu53sH61y0RSrbuCWqTiw8,Jl. Pandugo Baru No.V,Kafe,"",https://www.google.com/maps/place/Ali+Muchson+Cafe/data=!4m7!3m6!1s0x2dd7fac1deb90b8d:0xf8b936a09eeb64a!8m2!3d-7.3254753!4d112.7825299!16s%2Fg%2F11d_8s2g6w!19sChIJjQu53sH61y0RSrbuCWqTiw8?authuser=0&hl=id&rclk=1,"5,0 bintang 6 Ulasan",-7.3254753,112.7825299,5,6
85,Warung Burung Hantu,ChIJV42bT4r51y0RkhPE4JMwZTo,,Kafe,"",https://www.google.com/maps/place/Warung+Burung+Hantu/data=!4m7!3m6!1s0x2dd7f98a4f9b8d57:0x3a653093e0c41392!8m2!3d-7.2626842!4d112.7827221!16s%2Fg%2F11gf125bkv!19sChIJV42bT4r51y0RkhPE4JMwZTo?authuser=0&hl=id&rclk=1,"4,4 bintang 1.443 Ulasan",-7.2626842,112.7827221,4.4,1.443
86,Chick-So Cafe & Resto,ChIJS_CGB6j71y0RNKpfC1NkY2s,Jl. Margorejo Indah No.A702,Kafe,"",https://www.google.com/maps/place/Chick-So+Cafe+%26+Resto/data=!4m7!3m6!1s0x2dd7fba80786f04b:0x6b6364530b5faa34!8m2!3d-7.3173041!4d112.7469475!16s%2Fg%2F11y2sh7y4l!19sChIJS_CGB6j71y0RNKpfC1NkY2s?authuser=0&hl=id&rclk=1,"4,8 bintang 52 Ulasan",-7.3173041,112.7469475,4.8,52
